"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"202212","1호선","서울역","1350791","196523","1316828","187268","20230103"
"202212","1호선","시청","672846","96623","665583","93198","20230103"
"202212","1호선","종각","975925","150911","949944","141309","20230103"
"202212","1호선","종로3가","490967","309071","450017","287432","20230103"
"202212","1호선","종로5가","476315","247835","470710","238588","20230103"
"202212","1호선","동대문","230076","120749","215833","118870","20230103"
"202212","1호선","신설동","288269","114634","277560","110172","20230103"
"202212","1호선","제기동","238529","257360","228924","275606","20230103"
"202212","1호선","청량리(서울시립대입구)","344620","242950","342766","245420","20230103"
"202212","1호선","동묘앞","134207","137351","141805","139883","20230103"
"202212","2호선","시청","682510","59541","621289","53179","20230103"
"202212","2호선","을지로입구","1330792","112244","1341875","104953","20230103"
"202212","2호선","을지로3가","621414","79716","628833","78685","20230103"
"202212","2호선","을지로4가","320903","81514","332254","80919","20230103"
"202212","2호선","동대문역사문화공원(DDP)","366417","55918","423937","60290","20230103"
"202212","2호선","신당","332054","93097","348748","94894","20230103"
"202212","2호선","상왕십리","356131","66127","341958","66925","20230103"
"202212","2호선","왕십리(성동구청)","449999","54082","395033","48003","20230103"
"202212","2호선","한양대","289301","12947","312576","13359","20230103"
"202212","2호선","뚝섬","597454","57918","634402","58987","20230103"
"202212","2호선","성수","1044298","103377","1143228","105147","20230103"
"202212","2호선","건대입구","1023669","91783","1111010","96190","20230103"
"202212","2호선","구의(광진구청)","601937","106468","585737","108012","20230103"
"202212","2호선","강변(동서울터미널)","854068","117193","812629","113352","20230103"
"202212","2호선","잠실나루","327289","84304","315719","83835","20230103"
"202212","2호선","잠실(송파구청)","2324994","209443","2300137","202048","20230103"
"202212","2호선","잠실새내","568345","111484","575021","110932","20230103"
"202212","2호선","종합운동장","237836","45775","264044","48050","20230103"
"202212","2호선","삼성(무역센터)","1571585","125851","1567517","117547","20230103"
"202212","2호선","선릉","1347796","217436","1194994","191085","20230103"
"202212","2호선","역삼","1270522","148559","1433326","150647","20230103"
"202212","2호선","강남","2180108","161741","2132128","141600","20230103"
"202212","2호선","교대(법원.검찰청)","790257","161653","901562","185006","20230103"
"202212","2호선","서초","563758","89047","529512","88859","20230103"
"202212","2호선","방배","422651","77447","442444","76907","20230103"
"202212","2호선","사당","1004403","220333","1127177","210956","20230103"
"202212","2호선","낙성대(강감찬)","713852","105472","680990","106161","20230103"
"202212","2호선","서울대입구(관악구청)","1218573","177735","1187072","168087","20230103"
"202212","2호선","봉천","558240","145843","509492","146220","20230103"
"202212","2호선","신림","1527219","199789","1462466","199351","20230103"
"202212","2호선","신대방","628165","117247","600006","119295","20230103"
"202212","2호선","구로디지털단지","1500017","183955","1486929","184930","20230103"
"202212","2호선","대림(구로구청)","583244","122079","594328","126469","20230103"
"202212","2호선","신도림","1288593","208230","1290333","197474","20230103"
"202212","2호선","문래","537382","85416","556517","85111","20230103"
"202212","2호선","영등포구청","523017","100071","544118","99621","20230103"
"202212","2호선","당산","471375","57810","550240","64517","20230103"
"202212","2호선","합정","915426","69851","1001708","70166","20230103"
"202212","2호선","홍대입구","1991835","96580","2144397","93179","20230103"
"202212","2호선","신촌","1011047","122588","1029403","121253","20230103"
"202212","2호선","이대","413354","46942","442045","48334","20230103"
"202212","2호선","아현","249199","62751","234336","61968","20230103"
"202212","2호선","충정로(경기대입구)","239767","47936","256610","48133","20230103"
"202212","2호선","용답","70233","16416","70121","16604","20230103"
"202212","2호선","신답","39776","9299","43821","9988","20230103"
"202212","2호선","신설동","81964","31308","79659","33264","20230103"
"202212","2호선","도림천","30406","7715","32267","8586","20230103"
"202212","2호선","양천구청","153159","48900","160315","49516","20230103"
"202212","2호선","신정네거리","236094","70273","242976","72182","20230103"
"202212","2호선","용두(동대문구청)","48754","22697","47654","23466","20230103"
"202212","3호선","지축","145759","28681","141219","27735","20230103"
"202212","3호선","구파발","504350","116746","496353","112308","20230103"
"202212","3호선","연신내","806051","247242","760648","239239","20230103"
"202212","3호선","불광","341170","135931","365589","149374","20230103"
"202212","3호선","녹번","377800","76141","334052","75034","20230103"
"202212","3호선","홍제","383523","138450","363367","137167","20230103"
"202212","3호선","무악재","90087","30343","88543","32158","20230103"
"202212","3호선","독립문","147966","63228","152515","62749","20230103"
"202212","3호선","경복궁(정부서울청사)","601916","87134","607742","86138","20230103"
"202212","3호선","안국","657238","98485","677908","102785","20230103"
"202212","3호선","종로3가","233214","59191","289235","67249","20230103"
"202212","3호선","을지로3가","273362","52494","270878","49315","20230103"
"202212","3호선","충무로","47","2","0","0","20230103"
"202212","3호선","동대입구","245707","35700","269638","39367","20230103"
"202212","3호선","약수","306068","81560","297724","76632","20230103"
"202212","3호선","금호","181402","52281","166741","51490","20230103"
"202212","3호선","옥수","203819","57963","210967","57886","20230103"
"202212","3호선","압구정","844024","138187","922977","136991","20230103"
"202212","3호선","신사","807381","71896","846687","70545","20230103"
"202212","3호선","잠원","112225","30332","108060","28915","20230103"
"202212","3호선","고속터미널","1325069","199687","1288433","189131","20230103"
"202212","3호선","교대(법원.검찰청)","346770","77061","225090","45497","20230103"
"202212","3호선","남부터미널(예술의전당)","755231","123276","770242","124006","20230103"
"202212","3호선","양재(서초구청)","925619","154547","1008641","155063","20230103"
"202212","3호선","매봉","287857","64843","279978","60815","20230103"
"202212","3호선","도곡","124810","26316","127277","24961","20230103"
"202212","3호선","대치","257597","67303","258577","64912","20230103"
"202212","3호선","학여울","53019","16358","55632","15910","20230103"
"202212","3호선","대청","239657","58588","223806","56345","20230103"
"202212","3호선","일원","238043","66098","225664","65340","20230103"
"202212","3호선","수서","433045","110891","442936","108794","20230103"
